Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
05/01/2015,"29 FOXHILLS, LETTERKENNY, DONEGAL",,Donegal,79100,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"29 Longfield Point, Cashel Road, Clonmel",,Tipperary,160000,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
05/01/2015,"2A WILLIAM ST, PORTLAW, WATERFORD",,Waterford,50000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"3  Lakeland Close, Swellan Lower, Cavan",,Cavan,79000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2015,"3 LOURDES SQ, DROGHEDA, LOUTH",,Louth,80000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"31 Ard Na Greine, Kilnagurteen, Macroom",,Cork,160000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"32 ANNSFIELD WOODS, BAYLOUGH, ATHLONE",,Westmeath,120000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"35 Abbeyfield, Ballitore",,Kildare,105726.87,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/01/2015,"35 BROOKHURST, COLLINS AVE, WATERFORD",,Waterford,160000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"4 OAKLANDS, LONGFORD",,Longford,59000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"40 ORMOND RD, RATHMINES, DUBLIN",Dublin 6,Dublin,1145000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"42 The Courtyard, Clonsilla",Dublin 15,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"5 MARYBOROUGH HEIGHTS, MARYBOROUGH HILL, DOUGLAS",,Cork,250000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"5 SEXTON ST, ABBEYSIDE, DUNGARVAN",,Waterford,65000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"61 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",Dublin 9,Dublin,557000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"62 Brackernagh, Ballinasloe",,Galway,27500,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"62A Brackernagh, Ballinasloe",,Galway,27500,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"65 MALTON HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1",Dublin 1,Dublin,345000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"71 MARLAY VIEW, BALLINTEER AVE, BALLINTEER DUBLIN 16",Dublin 16,Dublin,295000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"72 KING ST, WEXFORD, WEXFORD",,Wexford,82000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"9 ERRIS GARDENS, CROSSMOLINA, MAYO",,Mayo,40000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"93 NEW STREET, BALLINROBE, COUNTY MAYO",,Mayo,57000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"97 JOLLY MARINER, COOSAN RD, ATHLONE",,Westmeath,145000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"Abbotsford, Brighton Road, Foxrock",Dublin 18,Dublin,1739391,Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"ARD NA GREINE, CLONROADMORE, ENNIS",,Clare,165000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"BALLINAPARK, BALLYGLUNIN, TUAM",,Galway,140000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"BOHERCROWE, LIMERICK RD, TIPPERARY TOWN",,Tipperary,150000,Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"CREEVAGHY, CLONES, MONAGHAN",,Monaghan,30000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"DICKSGROVE, CURROW, KILLARNEY",,Kerry,125000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"DOUGHMAKEON, LOUISBURGH, CO MAYO",,Mayo,140000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"DRUMGILL, DRUMCONRATH, CO MEATH",,Meath,140969,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"G120 BRU NA SIONNA, SHANNON, CLARE",,Clare,65000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"HARBOUR LIGHTS, BALLINCAR, SLIGO",,Sligo,225000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"KNOCKMASCAHILL, CREGGS, CO GALWAY",,Galway,75000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"KNOCKROE, CASTLEREA, CO ROSCOMMON",,Roscommon,48000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"NAVAN GATE, TRIM, MEATH",,Meath,100000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"no 1 melview glen, knockawalky, longford",,Longford,185000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2015,"NO 22 HAWTHORNE DRIVE, CABRA ROAD, THURLES",,Tipperary,52500,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"OLD GORT ROAD, ENNIS, CO. CLARE",,Clare,78000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"Rose Cottage, Newcastle, Oldcastle",,Meath,110000,No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"The Grange, 1 and 2 FITZWILLIAM PLACE NORTH, DUBLIN 7",Dublin 7,Dublin,354000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"1 Derravaragh Mews, Coole Road, Castlepollard",,Westmeath,64000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"1 PARNELL RD, ENNISCORTHY, WEXFORD",,Wexford,75000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"10 ORIEL COVE, CLOGHERHEAD, LOUTH",,Louth,140000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"104 ASHFIELD, LETTERKENNY, COUNTY DONEGAL",,Donegal,75000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"108 RATHLIN HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER",Dublin 1,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"11 SHERWOOD, POLLERTON BIG, CARLOW",,Carlow,130000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"116 Arraview, Newcastle West, Co. Limerick",,Limerick,33480,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/01/2015,"119 Lwr Churchtown Rd, Dundrum",,Dublin,371999,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"126 KILMACUD ROAD LOWER, STILLORGAN",,Dublin,620000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"127 THORNFIELD SQUARE, WATERY LANE, CLONDALKIN",,Dublin,90000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"13 CROFTWOOD GARDENS CHERRY ORCHARD, DUBLIN 10, DUBLIN",Dublin 10,Dublin,20000,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"13 KILLELINE HEIGHTS, NEWCASTLE WEST, LIMERICK",,Limerick,90000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"146 GLEANN NA RI, VALLEY AVE, DRUID VALLEY DUBLIN 18",Dublin 18,Dublin,212000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"15 VILLAGE SQUARE, GLASLOUGH, CO MONAGHAN",,Monaghan,120000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"158 Castlemoyne, Balgriffin",Dublin 13,Dublin,462555,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/01/2015,"16 clashlehane, ballinorig, tralee",,Kerry,134801.76,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/01/2015,"16 Sli Leag Ard, Miltown Malbay",,Clare,36000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"16 THE CONIFERS, CASTLETROY, LIMERICK",,Limerick,130000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"17 Sli Leag Ard, Miltown Malbay",,Clare,36000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"180  St. Margarets Road, Hampton Wood",Dublin 11,Dublin,160352.43,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"2 ABBEY STREET, ARKLOW, CO. WICKLOW",,Wicklow,50000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"2 BALLYBANE NEIGHBOURHOOD VILLAGE, CASTLEPARK RD, BALLYBANE",,Galway,75500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"2 CHALFONT PARK, MALAHIDE, DUBLIN",,Dublin,695000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"2 ISLAND RD, ENNISCORTHY, WEXFORD",,Wexford,35000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"2 PIG LANE, TININAIRE, EDGEWORTHSTOWN",,Longford,108000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"20 MOUNT GARRETT AVE, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,210000,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"20 PROSPECT GROVE, PROSPECT MANOR, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,450500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"209 LARCHVILLE, WATERFORD CITY, WATERFORD",,Waterford,67000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"21 AUBURN HOUSE, RATHMINES PARK, DUBLIN 6",Dublin 6,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"22 OLDTOWN, CAVAN",,Cavan,65000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"23 BEACHSIDE AVE, RIVERCHAPEL, WEXFORD",,Wexford,95000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"233 PACE RD, LITTLE PACE PADDOCKS, CLONEE DUBLIN 15",Dublin 15,Dublin,255000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"24 GRANGE PARK CRESCENT, RAHENY, DUBLIN",Dublin 5,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"26 DODDER VIEW COTTAGES, BALLSBRIDGE, DUBLIN",Dublin 4,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"26 RIDGEWOOD SQ, FOREST RD, SWORDS",,Dublin,205000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"27 CLYBAUN COURT, CLYBAUN RD, KNOCKNACARRA",,Galway,220000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"27 NORBITON HILL, RAHEEN, LIMERICK",,Limerick,200000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 BEACH ROAD, PASSAGE WEST, CO.CORK",,Cork,42000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 CROCK NA MURLEOG, DOWNINGS, DONEGAL",,Donegal,180000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 CUIL FEARNA, MULLINARY, CARRICKMACROSS",,Monaghan,72500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 HOLLYVILLE HEIGHTS, FRANCIS ST, WEXFORD",,Wexford,70000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 JAMES ST, MITCHELSTOWN, CORK",,Cork,107500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"3 Knockeven Avenue, Rushbrooke, Cóbh",,Cork,246696,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/01/2015,"3 WILLIAM O'BRIEN TERRACE, BARRACK STREET, KINSALE",,Cork,141000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"32 THE CHANDLER, ARRAN QUAY, DUBLIN 7",Dublin 7,Dublin,100000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"38 FERNWOOD CRESCENT, LEHANEBEG, TOGHER",,Cork,225000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"39 GLEANN NOININ, COLLEGE RD, GALWAY",,Galway,140000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"4 Belleek Manor, Ballina",,Mayo,269164,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"4 DAINGEAN RD, TULLAMORE, OFFALY",,Offaly,187500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"40 ADAIR, SANDYMOUNT AVE, DUBLIN 4",Dublin 4,Dublin,335000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"44 CROYDON GREEN, MARINO, DUBLIN 3",Dublin 3,Dublin,365000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"44 MOUNT PLEASANT SQUARE, RANELAGH, DUBLIN 6",,Dublin,1045000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"5 Railway Gardens, Station Road, Lismore",,Waterford,145000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"5 Seachnall Abbey, Dunshaughlin",,Meath,330396,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"511 VANTAGE EAST, CENTRAL PARK, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"53 ARRA VIEW, RATHNENEAKE, NEWCASTLEWEST",,Limerick,130000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"54 COLLEGE WOOD MANOR CLANE, KILDARE",,Kildare,136000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"6 CURRAGH HALL RD, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,188000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"6 Evergreen Close, Everygreen Street, Cork",,Cork,145374.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"6 RIVERSIDE APTS, NEWBRIDGE ST, BIRR",,Offaly,50000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"6 Sli Leag Ard, Miltown Malbay",,Clare,36000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"60A DOUGLAS ST, CORK, CORK",,Cork,220000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"62 GRANGE VILLAGE, MULLINGAR, WESTMEATH",,Westmeath,40000,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"67 GALLOWS HILL, ENNIS, CLARE",,Clare,105000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"69 ARDSHANAVOOLY, KILLARNEY, KERRY",,Kerry,125000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"6A Church Street, Finglas, Dublin 11",Dublin 11,Dublin,160000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"7 PLUNKETT TERRACE, COBH, CORK",,Cork,50000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"7 Sli Leag Ard, Miltown Malbay",,Clare,36000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"73 MEADOWBANK, BAILE NA NOEBE, CORK RD",,Waterford,80000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"75  THE HAWTHORNS, CARRAROE, SLIGO",,Sligo,153692,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"8 LAMBAY, LAMBAY, KILBRIDE",,Meath,273000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"8 Sli Leag Ard, Miltown Malbay",,Clare,36000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"84 ST JOHNS WOOD, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,240000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"9 0BRIENS PLACE, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,260000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"9 BALLYRAINE PARK, LETTERKENNY, DONEGAL",,Donegal,93000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"9 BROOKVILLE AVE, CLAREVIEW, LIMERICK",,Limerick,150000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"9 MONTEVERDI GREEN, FARMLEIGH, DUNMORE RD",,Waterford,150000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"93 Alderwood, Carrickmacross, Co Monaghan",,Monaghan,140969.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"94 DROIM LIATH COLLINS LANE, TULLAMORE, OFFALY",,Offaly,131500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"ACORN VILLAS, MILL RD, KILLARNEY",,Kerry,370000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Apartment 12, South Channel Court, 26/28 South Terrace",,Cork,95000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"APARTMENT 13 MOUNTGORRY WOOD, MALAHIDE ROAD, SWORDS",,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Apartment 15, South Channel Court, 26/28 South Terrace",,Cork,95000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"APT. 2 - BLOCK 5, WOODFORD MEADOWS, BALLYCONNELL",,Cavan,27000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"BALLINELLARD, BLACKWATER, WEXFORD",,Wexford,85000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Ballybrehoney, Claremorris",,Mayo,15000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"BEUMONT, CARRICK RD, CONABURY",,Monaghan,50000,Yes,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CARNAMADDY, CREESLOUGH, CO DONEGAL",,Donegal,37000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CARROWMORE, GLENTOGHER, CARNDONAGH",,Donegal,25627,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CASTLEKEELY, CARAGH NAAS, KILDARE",,Kildare,230000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CLOONLEE, BALLINLOUGH, CASTLEREA",,Roscommon,66000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Cosy Cottage, Clogga, Arklow",,Wicklow,87000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CULLEENMORE, GRANARD, LONGFORD",,Longford,77500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"CUSHINA LODGE, CUSHINA, PORTARLINGTON",,Offaly,137000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"DOORTHY, ROSCOMMON, ROSCOMMON",,Roscommon,30000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"DUINCH, HOLLYSTOWN, DUBLIN 15",Dublin 15,Dublin,800000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Frehanes, Rosscarbery",,Cork,127500,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"GOLD LINKS VIEW, MURREIGH, WATERVILLE",,Kerry,195000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"GORTLANDROE, NENAGH, CO TIPPERARY",,Tipperary,175000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"GURTEENGROVE, DUBLIN RD, CARLOW",,Carlow,370000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"KERRIGS, KLCROMANE, BANTRY",,Cork,126000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"KILMINCHY, DUBLIN ROAD, PORTLAOISE",,Laois,95000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Kilmurry, Kenmare",,Kerry,225000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"KNOCKNAMUCK, GRANGECON, WICKLOW",,Wicklow,132000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"LISLEAGH, BALLINDANGAN, MITCHELSTOWN",,Cork,55000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"LOW VALLEY, CROSSMOLINA, CO MAYO",,Mayo,45000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"MARYVILLE, 4 GORTLANDROE, NENAGH",,Tipperary,75000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"MONANG, ABBEYSIDE, DUNGARVAN",,Waterford,445000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"No 8 Quay West, Cootehall, Boyel",,Roscommon,30000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"RADHARC NA MARA, RING, DUNGARVAN",,Waterford,304200,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"Site No. 31 Rosehall, Crosslanes, Drogheda",,Louth,158590,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/01/2015,"SLIEVEMORE ROAD, DUGORT, ACHILL",,Mayo,105000,No,No,Second-Hand Dwelling house /Apartment,
06/01/2015,"THE BRIGG, CRANK ROAD, BANAGHER",,Offaly,130000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"10 BALLYWALTRIM COTTAGES, BRAY, WICKLOW",,Wicklow,100000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"10 NEWPARK, PORTLAOISE, CO LAOIS",,Laois,48000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"10 ROSE LAWN ESTATE, TOGHER ROAD, CORK",,Cork,157000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"102 SHANAGARY, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,342000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"12 ANNSBROOK, GLENEALY, WICKLOW",,Wicklow,200000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"12 Beachside Avenue, Riverchapel, Courtown",,Wexford,58487,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"13 Greenoaks, The Fairways, Ferrybank",,Kilkenny,147000,No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"14 JOHNSTOWN PARK, BALLYGALL RD EAST, DUBLIN 11",Dublin 11,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,
